29/04/2023	2
30/04/2023	1
01/05/2023	0
02/05/2023	3
03/05/2023	2
04/05/2023	1
05/05/2023	0
06/05/2023	0
07/05/2023	6
08/05/2023	0
09/05/2023	7
10/05/2023	0
11/05/2023	1
12/05/2023	0
13/05/2023	0
14/05/2023	0
15/05/2023	0
16/05/2023	0
17/05/2023	0
18/05/2023	0
19/05/2023	0
20/05/2023	0
21/05/2023	2
22/05/2023	0
23/05/2023	1
24/05/2023	0
25/05/2023	0
26/05/2023	0
27/05/2023	0
28/05/2023	0
29/05/2023	2
30/05/2023	0
31/05/2023	0
01/06/2023	0
02/06/2023	0
03/06/2023	0
04/06/2023	0
05/06/2023	0
06/06/2023	2
07/06/2023	0
08/06/2023	0
09/06/2023	0
10/06/2023	0
11/06/2023	1
12/06/2023	0
13/06/2023	0
14/06/2023	1
15/06/2023	0
16/06/2023	0
17/06/2023	0
18/06/2023	1
19/06/2023	0
20/06/2023	0
21/06/2023	1
22/06/2023	0
23/06/2023	1
24/06/2023	4
25/06/2023	1
26/06/2023	0
27/06/2023	0
28/06/2023	2
29/06/2023	0
30/06/2023	0
01/07/2023	0
02/07/2023	0
03/07/2023	0
04/07/2023	0
05/07/2023	0
06/07/2023	1
07/07/2023	4
08/07/2023	1
09/07/2023	0
10/07/2023	0
11/07/2023	3
12/07/2023	1
13/07/2023	1
14/07/2023	1
15/07/2023	0
16/07/2023	8
17/07/2023	0
18/07/2023	1
19/07/2023	4
20/07/2023	0
21/07/2023	1
22/07/2023	2
23/07/2023	0
24/07/2023	0
25/07/2023	0
26/07/2023	0
27/07/2023	0
28/07/2023	0
29/07/2023	0
30/07/2023	0
31/07/2023	0
01/08/2023	0
02/08/2023	0
03/08/2023	13
04/08/2023	0
05/08/2023	0
06/08/2023	4
07/08/2023	1
08/08/2023	1
09/08/2023	1
10/08/2023	1
11/08/2023	0
12/08/2023	0
13/08/2023	0
14/08/2023	1
15/08/2023	2
16/08/2023	1
17/08/2023	2
18/08/2023	4
19/08/2023	0
20/08/2023	2
21/08/2023	1
22/08/2023	1
23/08/2023	1
24/08/2023	14
25/08/2023	4
26/08/2023	0
27/08/2023	0
28/08/2023	0
29/08/2023	1
30/08/2023	11
31/08/2023	0
01/09/2023	1
02/09/2023	0
03/09/2023	0
04/09/2023	4
05/09/2023	0
06/09/2023	0
07/09/2023	0
08/09/2023	0
09/09/2023	0
10/09/2023	0
11/09/2023	1
12/09/2023	1
13/09/2023	7
14/09/2023	4
15/09/2023	4
16/09/2023	5
17/09/2023	1
18/09/2023	0
19/09/2023	0
20/09/2023	4
21/09/2023	3
22/09/2023	1
23/09/2023	0
24/09/2023	0
25/09/2023	1
26/09/2023	2
27/09/2023	0
28/09/2023	1
29/09/2023	4
30/09/2023	0
01/10/2023	3
02/10/2023	0
03/10/2023	2
04/10/2023	2
05/10/2023	0
06/10/2023	1
07/10/2023	4
08/10/2023	0
09/10/2023	0
10/10/2023	0
11/10/2023	0
